ORDERID,PRODUCTID,COUNT_OF_EACH_ORDER
1,41,9
1,23,9
1,33,9
1,120,9
1,4,9
1,161,9
1,96,9
1,27,9
1,116,9
2,31,4
2,94,4
2,18,4
2,172,4
3,83,5
3,50,5
3,90,5
3,33,5
3,14,5
4,134,2
4,59,2
5,173,9
5,72,9
5,99,9
5,172,9
5,140,9
5,48,9
5,7,9
5,70,9
5,78,9
6,163,5
6,125,5
6,47,5
6,30,5
6,29,5
7,94,1
8,70,8
8,146,8
8,103,8
8,22,8
8,87,8
8,81,8
8,154,8
8,72,8
9,44,1
10,3,1
11,132,7
11,171,7
11,60,7
11,79,7
11,91,7
11,156,7
11,158,7
12,137,10
12,85,10
12,45,10
12,125,10
12,102,10
12,136,10
12,40,10
12,72,10
12,3,10
12,10,10
13,172,4
13,77,4
13,45,4
13,56,4
14,152,8
14,39,8
14,124,8
14,93,8
14,42,8
14,10,8
14,114,8
14,44,8
15,50,8
15,111,8
15,30,8
15,137,8
15,125,8
15,113,8
15,21,8
15,104,8
16,137,8
16,27,8
16,8,8
16,152,8
16,45,8
16,159,8
16,64,8
16,26,8
17,104,5
17,139,5
17,58,5
17,101,5
17,85,5
18,3,3
18,59,3
18,118,3
19,95,8
19,104,8
19,169,8
19,59,8
19,53,8
19,85,8
19,18,8
19,170,8
20,146,4
20,93,4
20,61,4
20,33,4
21,102,4
21,20,4
21,40,4
21,174,4
22,73,3
22,104,3
22,145,3
23,50,1
24,116,6
24,12,6
24,48,6
24,54,6
24,131,6
24,24,6
25,109,8
25,168,8
25,39,8
25,78,8
25,48,8
25,68,8
25,29,8
25,82,8
26,117,1
27,55,6
27,13,6
27,160,6
27,91,6
27,106,6
27,36,6
28,70,4
28,145,4
28,118,4
28,11,4
29,159,5
29,37,5
29,141,5
29,30,5
29,73,5
30,7,7
30,116,7
30,69,7
30,42,7
30,23,7
30,65,7
30,157,7
31,9,4
31,169,4
31,78,4
31,109,4
32,19,8
32,149,8
32,92,8
32,137,8
32,96,8
32,174,8
32,42,8
32,160,8
33,53,3
33,36,3
33,158,3
34,9,9
34,8,9
34,57,9
34,16,9
34,150,9
34,145,9
34,25,9
34,129,9
34,132,9
35,101,10
35,119,10
